UsuarioID,Calle,Ciudad,Departamento,Provincia,Distrito,Estado,CodigoPostal,Pais
54,Avenida Córdoba N° 557,Paraná,Jujuy,Jujuy,Boedo,Jujuy,30006345,Argentina
55,Camino 8 N° 9523,Santa Fe,Tucumán,Tucumán,Palermo,Tucumán,40000887,Argentina
56,Diag. Tucumán N° 22,Mar del Plata,Mendoza,Mendoza,Flores,Mendoza,42003764,Argentina
57,Diagonal Resistencia N° 186,Constitución,Mendoza,Mendoza,Villa Crespo,Mendoza,33008166,Argentina
58,Diag. Santa Rosa N° 481,Córdoba,Corrientes,Corrientes,Recoleta,Corrientes,19003539,Argentina
59,Avenida Saavedra N° 136,Corrientes,Catamarca,Catamarca,Retiro,Catamarca,55005630,Argentina
60,Av. Malvinas Argentinas N° 65,San Juan,Santiago del Estero,Santiago del Estero,Boedo,Santiago del Estero,90004207,Argentina
61,Calle Córdoba N° 195,Ushuaia,Jujuy,Jujuy,Retiro,Jujuy,83002971,Argentina
62,Diagonal Paraná N° 46,Córdoba,La Rioja,La Rioja,Palermo,La Rioja,36004148,Argentina
63,Diagonal Tierra del Fuego N° 606,Córdoba,Santiago del Estero,Santiago del Estero,San Telmo,Santiago del Estero,90002539,Argentina
64,Av. Santa Cruz N° 99,Formosa,Santa Cruz,Santa Cruz,San Telmo,Santa Cruz,94008645,Argentina
65,Calle Ushuaia N° 39,Chilecito,Chubut,Chubut,Flores,Chubut,31002424,Argentina
66,Diagonal Posadas N° 139,Resistencia,Mendoza,Mendoza,Boedo,Mendoza,42000116,Argentina
67,Avenida Ciudad Autónoma de Buenos Aires N° 542,Formosa,Entre Ríos,Entre Ríos,Retiro,Entre Ríos,83008451,Argentina
68,Avenida Misiones N° 72,Rosario,Misiones,Misiones,Palermo,Misiones,94102087,Argentina
69,Av. 1 N° 563,Santa Fe,Entre Ríos,Entre Ríos,Boedo,Entre Ríos,50009638,Argentina
70,Blv. 1 N° 51,Viedma,Formosa,Formosa,Caballito,Formosa,42008054,Argentina
71,Avenida Chilecito N° 3253,Santa Fe,La Pampa,La Pampa,Villa Crespo,La Pampa,33003199,Argentina
72,Boulevard Tucumán N° 123,San Juan,Entre Ríos,Entre Ríos,Flores,Entre Ríos,36001492,Argentina
73,Calle Rivadavia N° 35,San Ferando del Valle de Catamarca,Santa Cruz,Santa Cruz,Palermo,Santa Cruz,10042783,Argentina
74,Avenida J.J. Castelli N° 247,Chilecito,San Juan,San Juan,Recoleta,San Juan,83006599,Argentina
75,Av. J.J. Castelli N° 520,Chilecito,Catamarca,Catamarca,San Telmo,Catamarca,44009373,Argentina
76,Av. Mendoza N° 195,Resistencia,La Pampa,La Pampa,Recoleta,La Pampa,40003989,Argentina
77,Diagonal Rivadavia N° 8452,Ushuaia,Jujuy,Jujuy,Palermo,Jujuy,31002168,Argentina
78,Camino 5 N° 925,La Rioja,Río Negro,Río Negro,Villa Crespo,Río Negro,20009838,Argentina
79,Avenida Alvear N° 698,Paraná,Neuquén,Neuquén,Flores,Neuquén,55003396,Argentina
80,Diagonal Merlo N° 935,San Luis,Entre Ríos,Entre Ríos,San Telmo,Entre Ríos,31005092,Argentina
81,Diagonal Santa Fe N° 6295,Ushuaia,Santa Cruz,Santa Cruz,Retiro,Santa Cruz,44002070,Argentina
82,Calle Merlo N° 302,San Miguel de Tucumán,Santa Cruz,Santa Cruz,Flores,Santa Cruz,94109475,Argentina
83,Avenida Tierra del Fuego N° 679,Santa Fe,Córdoba,Córdoba,Flores,Córdoba,57004538,Argentina
84,Diagonal 4 N° 644,Neuquén,La Rioja,La Rioja,Caballito,La Rioja,35000132,Argentina
85,Avenida San Ferando del Valle de Catamarca N° 5963,Río Gallegos,Mendoza,Mendoza,San Telmo,Mendoza,42001754,Argentina
86,Diagonal 4 N° 8719,Santa Fe,Tucumán,Tucumán,Retiro,Tucumán,94007948,Argentina
87,Calle Mitre N° 9645,San Luis,San Luis,San Luis,Retiro,San Luis,47008635,Argentina
88,Av. San Juan N° 5236,San Juan,San Juan,San Juan,Retiro,San Juan,50008771,Argentina
89,Avenida 1 N° 651,Santa Rosa,Chubut,Chubut,Villa Crespo,Chubut,35001776,Argentina
90,Calle 1 N° 18,Ushuaia,Entre Ríos,Entre Ríos,Belgrano,Entre Ríos,80001783,Argentina
91,Avenida Salta N° 336,La Rioja,San Juan,San Juan,San Telmo,San Juan,20000287,Argentina
92,Av. Merlo N° 7868,San Luis,Corrientes,Corrientes,Caballito,Corrientes,19006737,Argentina
93,Blv. G. Brown N° 18,Santa Rosa,Corrientes,Corrientes,Retiro,Corrientes,54000401,Argentina
94,Blv. San Martin N° 912,Comodoro Rivadavia,Misiones,Misiones,Caballito,Misiones,90006402,Argentina
95,Avenida Güemes N° 688,San Miguel de Tucumán,Santa Fe,Santa Fe,Villa Crespo,Santa Fe,55009590,Argentina
96,Diagonal 9 N° 346,San Miguel de Tucumán,Corrientes,Corrientes,Barracas,Corrientes,47002786,Argentina
97,Av. Corrientes N° 803,San Juan,Chubut,Chubut,San Telmo,Chubut,35001933,Argentina
98,Diagonal Mar del Plata N° 711,Córdoba,Santa Fe,Santa Fe,Retiro,Santa Fe,34009463,Argentina
99,Diagonal 7 N° 6372,Santa Rosa,Entre Ríos,Entre Ríos,Recoleta,Entre Ríos,46004355,Argentina
100,Calle Malvinas Argentinas N° 13,La Rioja,Santa Fe,Santa Fe,San Telmo,Santa Fe,57008092,Argentina
101,Boulevard Salta N° 15,San Luis,Chaco,Chaco,Caballito,Chaco,33007481,Argentina
102,Calle Buenos Aires N° 169,San Miguel de Tucumán,Mendoza,Mendoza,Recoleta,Mendoza,53605403,Argentina
103,Av. 2 N° 589,Resistencia,La Rioja,La Rioja,Belgrano,La Rioja,55004794,Argentina
104,Av. Güemes N° 453,San Juan,Chubut,Chubut,Flores,Chubut,34007147,Argentina
105,Diagonal Corrientes N° 2333,Río Gallegos,San Juan,San Juan,Barracas,San Juan,19000558,Argentina
106,Calle Mitre N° 917,Santiago del Estero,Buenos Aires,Buenos Aires,Recoleta,Buenos Aires,63004532,Argentina
107,Diag. Bahía Blanca N° 5372,Río Gallegos,Corrientes,Corrientes,Boedo,Corrientes,35008830,Argentina
108,Avenida Santiago del Estero N° 7956,San Juan,Santa Fe,Santa Fe,San Telmo,Santa Fe,90006919,Argentina
109,Blv. Córdoba N° 15,Rawson,Misiones,Misiones,Barracas,Misiones,35004230,Argentina
110,Diagonal 8 N° 49,La Rioja,Jujuy,Jujuy,Boedo,Jujuy,53602705,Argentina
111,Av. Pte. Perón N° 703,Viedma,Entre Ríos,Entre Ríos,San Telmo,Entre Ríos,63009775,Argentina
112,Calle Corrientes N° 2296,Paraná,Salta,Salta,Boedo,Salta,19003172,Argentina
113,Diag. Malvinas Argentinas N° 407,Paraná,San Juan,San Juan,San Telmo,San Juan,19000554,Argentina
114,Calle Chubut N° 9684,Córdoba,Santa Cruz,Santa Cruz,Caballito,Santa Cruz,46009858,Argentina
115,Avenida 7 N° 94,Paraná,Misiones,Misiones,San Telmo,Misiones,85007606,Argentina
116,Blv. Omar Nuñez N° 962,Corrientes,Neuquén,Neuquén,Caballito,Neuquén,94003735,Argentina
117,Avenida 9 N° 82,Rosario,Córdoba,Córdoba,Barracas,Córdoba,55003404,Argentina
118,Av. 5 N° 923,Córdoba,Córdoba,Córdoba,Boedo,Córdoba,42001440,Argentina
119,Diagonal Córdoba N° 459,Santiago del Estero,Río Negro,Río Negro,Palermo,Río Negro,31002591,Argentina
120,Av. San Luis N° 3438,Merlo,Chubut,Chubut,Flores,Chubut,35005519,Argentina
121,Avenida 9 N° 81,La Plata,Corrientes,Corrientes,Belgrano,Corrientes,83006639,Argentina
122,Diagonal San Miguel de Tucumán N° 549,Córdoba,Tierra del Fuego,Tierra del Fuego,Barracas,Tierra del Fuego,19009400,Argentina
123,Diagonal 8 N° 117,Rawson,San Juan,San Juan,Boedo,San Juan,63007437,Argentina
124,Av. San Martin N° 43,San Salvador de Jujuy,Río Negro,Río Negro,Recoleta,Río Negro,35003235,Argentina
125,Diagonal J.B. Alberdi N° 34,Viedma,Neuquén,Neuquén,Villa Crespo,Neuquén,36000731,Argentina
126,Av. La Pampa N° 7338,Paraná,Córdoba,Córdoba,Palermo,Córdoba,31002597,Argentina
127,Calle 1 N° 593,Formosa,Tierra del Fuego,Tierra del Fuego,Flores,Tierra del Fuego,50000680,Argentina
128,Avenida Santa Cruz N° 425,Mendoza,Formosa,Formosa,Belgrano,Formosa,19006602,Argentina
129,Avenida J.M. de Rosas N° 4641,Santiago del Estero,La Rioja,La Rioja,Recoleta,La Rioja,55008386,Argentina
130,Av. 5 N° 510,San Miguel de Tucumán,Río Negro,Río Negro,Villa Crespo,Río Negro,94107983,Argentina
131,Av. Belgrano N° 203,Resistencia,Santiago del Estero,Santiago del Estero,Flores,Santiago del Estero,47007588,Argentina
132,Av. Mendoza N° 38,Formosa,Neuquén,Neuquén,Flores,Neuquén,63005312,Argentina
133,Av. Chubut N° 3061,Bahía Blanca,San Juan,San Juan,Caballito,San Juan,94008063,Argentina
134,Diag. La Rioja N° 246,Viedma,Santa Fe,Santa Fe,Villa Crespo,Santa Fe,53603357,Argentina
135,Av. San Ferando del Valle de Catamarca N° 137,Neuquén,San Luis,San Luis,Flores,San Luis,47002166,Argentina
136,Calle Rosario N° 5148,Salta,Río Negro,Río Negro,Retiro,Río Negro,53003084,Argentina
137,Av. Rivadavia N° 2357,Santa Fe,Entre Ríos,Entre Ríos,Villa Crespo,Entre Ríos,58816703,Argentina
138,Calle 8 N° 484,Río Gallegos,San Juan,San Juan,Recoleta,San Juan,76009549,Argentina
139,Blv. Omar Nuñez N° 325,Paraná,Chaco,Chaco,Retiro,Chaco,55007854,Argentina
140,Calle Córdoba N° 42,Bahía Blanca,Corrientes,Corrientes,San Telmo,Corrientes,85000692,Argentina
141,Diag. 5 N° 848,San Ferando del Valle de Catamarca,Entre Ríos,Entre Ríos,Belgrano,Entre Ríos,40007946,Argentina
142,Boulevard Entre Ríos N° 733,San Juan,San Juan,San Juan,San Telmo,San Juan,94104000,Argentina
143,Avenida 8 N° 46,Santa Fe,Mendoza,Mendoza,Villa Crespo,Mendoza,42002315,Argentina
144,Calle 3 N° 48,Córdoba,Mendoza,Mendoza,Barracas,Mendoza,53600755,Argentina
145,Calle 2 N° 92,La Plata,Santa Fe,Santa Fe,Recoleta,Santa Fe,47005014,Argentina
146,Avenida San Martin N° 998,Viedma,Catamarca,Catamarca,San Telmo,Catamarca,53609867,Argentina
147,Calle Pte. Perón N° 472,Formosa,Buenos Aires,Buenos Aires,Barracas,Buenos Aires,91036579,Argentina
148,Av. Bahía Blanca N° 672,Salta,Santa Fe,Santa Fe,Barracas,Santa Fe,34008570,Argentina
149,Av. Misiones N° 954,Chilecito,Santa Fe,Santa Fe,San Telmo,Santa Fe,50005801,Argentina
150,Diag. 3 N° 685,Posadas,Tucumán,Tucumán,Belgrano,Tucumán,53603312,Argentina
151,Camino Mendoza N° 5126,Ushuaia,Río Negro,Río Negro,Belgrano,Río Negro,80004441,Argentina
152,Calle 4 N° 3450,Ushuaia,Catamarca,Catamarca,San Telmo,Catamarca,30002396,Argentina
153,Av. San Salvador de Jujuy N° 884,Merlo,Córdoba,Córdoba,Villa Crespo,Córdoba,10046123,Argentina
154,Diagonal Neuquén N° 4292,Santiago del Estero,La Rioja,La Rioja,Villa Crespo,La Rioja,40005937,Argentina
155,Av. 2 N° 298,San Ferando del Valle de Catamarca,Formosa,Formosa,Recoleta,Formosa,44008005,Argentina
156,Av. Omar Nuñez N° 27,Formosa,Formosa,Formosa,Villa Crespo,Formosa,40008237,Argentina
157,Diagonal 3 N° 9593,Resistencia,Mendoza,Mendoza,Palermo,Mendoza,55004030,Argentina
158,Av. 4 N° 957,Salta,La Rioja,La Rioja,Barracas,La Rioja,46002090,Argentina
159,Calle 6 N° 1237,Chilecito,La Rioja,La Rioja,Caballito,La Rioja,35009021,Argentina
160,Blv. Santa Cruz N° 61,Corrientes,Jujuy,Jujuy,Palermo,Jujuy,46001234,Argentina
161,Calle 166 B N° 118,Comodoro Rivadavia,Salta,Salta,Flores,Salta,44008568,Argentina
162,Av. Río Negro N° 5620,Santiago del Estero,Santa Cruz,Santa Cruz,Retiro,Santa Cruz,55001652,Argentina
163,Av. 4 N° 2665,Salta,Tierra del Fuego,Tierra del Fuego,Recoleta,Tierra del Fuego,42005086,Argentina
164,Boulevard Chilecito N° 847,San Salvador de Jujuy,Buenos Aires,Buenos Aires,Flores,Buenos Aires,53002733,Argentina
165,Calle Chaco N° 89,San Salvador de Jujuy,La Pampa,La Pampa,Boedo,La Pampa,30008455,Argentina
166,Diagonal Güemes N° 47,Bahía Blanca,Chaco,Chaco,San Telmo,Chaco,94107665,Argentina
167,Calle Alvear N° 45,Resistencia,Neuquén,Neuquén,San Telmo,Neuquén,55000179,Argentina
168,Diag. San Salvador de Jujuy N° 66,San Juan,La Pampa,La Pampa,Barracas,La Pampa,94000198,Argentina
169,Avenida 102 A N° 244,Comodoro Rivadavia,San Juan,San Juan,Recoleta,San Juan,94100965,Argentina
170,Diagonal Pte. Perón N° 7296,Rawson,Catamarca,Catamarca,Villa Crespo,Catamarca,44007514,Argentina
171,Av. Ushuaia N° 7575,Córdoba,Mendoza,Mendoza,Villa Crespo,Mendoza,33008910,Argentina
172,Av. 1 N° 561,Córdoba,Santa Cruz,Santa Cruz,Barracas,Santa Cruz,90000248,Argentina
173,Avenida San Luis N° 6031,Río Gallegos,Chubut,Chubut,Flores,Chubut,35009065,Argentina
174,Av. Alem N° 848,Corrientes,Tierra del Fuego,Tierra del Fuego,San Telmo,Tierra del Fuego,44002262,Argentina
175,Avenida San Martin N° 761,Viedma,Córdoba,Córdoba,Flores,Córdoba,83008008,Argentina
176,Av. 3 N° 43,Paraná,Tucumán,Tucumán,Flores,Tucumán,63001596,Argentina
177,Diagonal Malvinas Argentinas N° 114,San Luis,San Juan,San Juan,Belgrano,San Juan,76000196,Argentina
178,Diagonal Buenos Aires N° 85,Comodoro Rivadavia,Entre Ríos,Entre Ríos,Flores,Entre Ríos,53606226,Argentina
179,Calle 5 N° 35,La Plata,Catamarca,Catamarca,Retiro,Catamarca,85002635,Argentina
180,Diagonal 4 N° 243,Mar del Plata,Tierra del Fuego,Tierra del Fuego,Flores,Tierra del Fuego,80007655,Argentina
181,Av. 7 N° 634,Rawson,Salta,Salta,San Telmo,Salta,58814805,Argentina
182,Av. Córdoba N° 353,San Ferando del Valle de Catamarca,San Juan,San Juan,Boedo,San Juan,34009598,Argentina
183,Diagonal La Pampa N° 96,Bahía Blanca,Chubut,Chubut,San Telmo,Chubut,76004204,Argentina
184,Diag. San Luis N° 8230,Ushuaia,Tierra del Fuego,Tierra del Fuego,Villa Crespo,Tierra del Fuego,54003079,Argentina
185,Camino 9 N° 2212,Neuquén,Río Negro,Río Negro,Belgrano,Río Negro,55000545,Argentina
186,Diag. 4 N° 89,Bahía Blanca,Tierra del Fuego,Tierra del Fuego,Recoleta,Tierra del Fuego,50006334,Argentina
187,Diag. Salta N° 418,Merlo,La Pampa,La Pampa,Palermo,La Pampa,46006120,Argentina
188,Avenida 7 N° 856,Santa Rosa,Río Negro,Río Negro,Recoleta,Río Negro,94006009,Argentina
189,Calle G. Brown N° 25,Ushuaia,Neuquén,Neuquén,Belgrano,Neuquén,33001950,Argentina
190,Avenida Posadas N° 21,La Plata,Santiago del Estero,Santiago del Estero,Flores,Santiago del Estero,55006861,Argentina
191,Av. Jujuy N° 587,San Juan,Santiago del Estero,Santiago del Estero,Belgrano,Santiago del Estero,80008486,Argentina
192,Boulevard San Ferando del Valle de Catamarca N° 9441,Posadas,La Rioja,La Rioja,Villa Crespo,La Rioja,53602825,Argentina
193,Diagonal Entre Ríos N° 638,Resistencia,Mendoza,Mendoza,Flores,Mendoza,57004518,Argentina
194,Av. Santiago del Estero N° 429,Córdoba,Río Negro,Río Negro,Villa Crespo,Río Negro,91039001,Argentina
195,Avenida San Martin N° 485,Merlo,La Pampa,La Pampa,Boedo,La Pampa,50003459,Argentina
196,Calle Alvear N° 645,Resistencia,Formosa,Formosa,Palermo,Formosa,58815141,Argentina
197,Avenida Saavedra N° 7438,La Plata,San Luis,San Luis,Recoleta,San Luis,57009287,Argentina
198,Av. Santa Cruz N° 18,Mendoza,Entre Ríos,Entre Ríos,Villa Crespo,Entre Ríos,58819140,Argentina
199,Calle Mendoza N° 42,Río Gallegos,Salta,Salta,Recoleta,Salta,91032919,Argentina
200,Av. Mendoza N° 9099,Mendoza,San Luis,San Luis,Boedo,San Luis,44004690,Argentina
201,Camino 8 N° 422,Posadas,Misiones,Misiones,Caballito,Misiones,31006210,Argentina
202,Calle Chaco N° 3984,Resistencia,Salta,Salta,San Telmo,Salta,19006806,Argentina
203,Calle 9 N° 55,Bahía Blanca,Catamarca,Catamarca,Belgrano,Catamarca,83001167,Argentina
204,Calle 125 A N° 755,La Rioja,Misiones,Misiones,Barracas,Misiones,42000418,Argentina
205,Calle J.M. de Rosas N° 462,San Luis,Salta,Salta,Retiro,Salta,57007085,Argentina
206,Calle Güemes N° 1261,Bahía Blanca,Chubut,Chubut,Retiro,Chubut,94003429,Argentina
207,Diagonal Posadas N° 156,San Salvador de Jujuy,Mendoza,Mendoza,Retiro,Mendoza,90001393,Argentina
208,Avenida Córdoba N° 36,Mar del Plata,Salta,Salta,Villa Crespo,Salta,46006298,Argentina
209,Diagonal Salta N° 165,La Plata,Neuquén,Neuquén,Boedo,Neuquén,54002516,Argentina
210,Calle Alem N° 226,Chilecito,Salta,Salta,Flores,Salta,50000261,Argentina
211,Calle Rivadavia N° 654,Santa Rosa,Buenos Aires,Buenos Aires,Recoleta,Buenos Aires,40005110,Argentina
212,Avenida San Salvador de Jujuy N° 18,La Rioja,San Juan,San Juan,Belgrano,San Juan,34001125,Argentina
213,Avenida Saavedra N° 142,Rawson,Córdoba,Córdoba,Retiro,Córdoba,35004716,Argentina
214,Avenida Resistencia N° 807,Rawson,Buenos Aires,Buenos Aires,Retiro,Buenos Aires,19009019,Argentina
215,Avenida Misiones N° 66,Mendoza,Santiago del Estero,Santiago del Estero,Boedo,Santiago del Estero,40006339,Argentina
216,Calle 9 N° 9052,Paraná,San Luis,San Luis,Boedo,San Luis,35008417,Argentina
217,Av. J.M. de Rosas N° 138,Comodoro Rivadavia,Jujuy,Jujuy,Barracas,Jujuy,91033365,Argentina
218,Boulevard Ciudad Autónoma de Buenos Aires N° 293,Formosa,Córdoba,Córdoba,Flores,Córdoba,42006115,Argentina
219,Calle San Luis N° 346,Santa Fe,San Juan,San Juan,Flores,San Juan,34002090,Argentina
220,Calle San Luis N° 36,Rawson,Corrientes,Corrientes,Boedo,Corrientes,63005898,Argentina
221,Avenida Neuquén N° 437,Chilecito,San Luis,San Luis,Flores,San Luis,83007020,Argentina
222,Calle Chubut N° 8450,Posadas,Chubut,Chubut,Villa Crespo,Chubut,44004035,Argentina
223,Blv. Alem N° 913,Formosa,Chubut,Chubut,Recoleta,Chubut,53001758,Argentina
224,Diagonal La Rioja N° 219,Bahía Blanca,Mendoza,Mendoza,Flores,Mendoza,36009144,Argentina
225,Calle Mitre N° 687,San Miguel de Tucumán,Buenos Aires,Buenos Aires,Caballito,Buenos Aires,58814975,Argentina
226,Av. Mar del Plata N° 728,Mar del Plata,Chubut,Chubut,Recoleta,Chubut,57003891,Argentina
227,Avenida 8 N° 136,La Plata,Tierra del Fuego,Tierra del Fuego,Retiro,Tierra del Fuego,90000034,Argentina
228,Diagonal J.B. Alberdi N° 1317,Viedma,Salta,Salta,Belgrano,Salta,55006873,Argentina
229,Camino Belgrano N° 186,Paraná,Chaco,Chaco,Retiro,Chaco,19003035,Argentina
230,Av. Alem N° 869,Corrientes,Neuquén,Neuquén,San Telmo,Neuquén,94004534,Argentina
231,Calle G. Brown N° 7324,Corrientes,Santa Fe,Santa Fe,Retiro,Santa Fe,31001855,Argentina
232,Avenida 6 N° 616,Santa Rosa,La Pampa,La Pampa,Villa Crespo,La Pampa,57008856,Argentina
233,Diagonal G. Brown N° 4717,Santiago del Estero,San Luis,San Luis,Boedo,San Luis,31008014,Argentina
234,Avenida Corrientes N° 980,San Luis,Salta,Salta,Palermo,Salta,47000936,Argentina
235,Calle San Martin N° 53,Paraná,Misiones,Misiones,San Telmo,Misiones,76006611,Argentina
236,Camino Corrientes N° 275,San Salvador de Jujuy,Formosa,Formosa,Flores,Formosa,91032222,Argentina
237,Calle Santa Rosa N° 311,San Ferando del Valle de Catamarca,La Rioja,La Rioja,Palermo,La Rioja,30002522,Argentina
238,Diagonal San Juan N° 532,Bahía Blanca,Misiones,Misiones,Barracas,Misiones,53603113,Argentina
239,Blv. San Salvador de Jujuy N° 898,Comodoro Rivadavia,Neuquén,Neuquén,Palermo,Neuquén,10045624,Argentina
240,Calle Omar Nuñez N° 648,Rawson,Buenos Aires,Buenos Aires,Caballito,Buenos Aires,30002851,Argentina
241,Av. Mitre N° 26,Ushuaia,Buenos Aires,Buenos Aires,Villa Crespo,Buenos Aires,31002312,Argentina
242,Avenida 7 N° 3471,Ushuaia,Córdoba,Córdoba,Recoleta,Córdoba,54005972,Argentina
243,Avenida 9 N° 98,Santa Fe,San Juan,San Juan,San Telmo,San Juan,35001294,Argentina
244,Calle 7 N° 189,Córdoba,Chaco,Chaco,Recoleta,Chaco,90002858,Argentina
245,Calle Santa Fe N° 78,La Rioja,Jujuy,Jujuy,Belgrano,Jujuy,44001653,Argentina
246,Av. Merlo N° 782,Mendoza,Entre Ríos,Entre Ríos,Belgrano,Entre Ríos,57006954,Argentina
247,Calle San Juan N° 46,Río Gallegos,Formosa,Formosa,Caballito,Formosa,34003543,Argentina
